collection_candidate_name,normalized_series_key,book_count,confidence,needs_review,rule_used_set,book_ids,book_titles
Is It Wrong to Try to Pick Up Girls in a Dungeon?,is it wrong to try to pick up girls in a dungeon,6,high,False,prefix_volume_marker,1057 | 1006 | 652 | 135 | 1060 | 1059,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 10 (light novel) (Is It Wrong to Try to Pick Up Girls in a Dungeon? (light novel)) | Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 15 (light novel) (Is It Wrong to Try to Pick Up Girls in a Dungeon? (light novel)) | Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 16 (light novel) | Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 17 | Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 5 (light novel) | Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 6 (light novel)"
Isekai Tensei - Recruited to Another World,isekai tensei recruited to another world,2,high,False,prefix_volume_marker,122 | 123,Isekai Tensei - Recruited to Another World vol 1 Premium | Isekai Tensei - Recruited to Another World vol 2 Premium
Isekai Tensei Soudouki,isekai tensei soudouki,14,high,False,prefix_volume_marker,787 | 786 | 785 | 784 | 783 | 782 | 781 | 780 | 779 | 778 | 777 | 776 | 775 | 774,Isekai Tensei Soudouki vol 1 | Isekai Tensei Soudouki vol 10 | Isekai Tensei Soudouki vol 11 | Isekai Tensei Soudouki vol 12 | Isekai Tensei Soudouki vol 13 | Isekai Tensei Soudouki vol 14 | Isekai Tensei Soudouki vol 2 | Isekai Tensei Soudouki vol 3 | Isekai Tensei Soudouki vol 4 | Isekai Tensei Soudouki vol 5 | Isekai Tensei Soudouki vol 6 | Isekai Tensei Soudouki vol 7 | Isekai Tensei Soudouki vol 8 | Isekai Tensei Soudouki vol 9
Kamisama no Memochou,kamisama no memochou,9,high,False,prefix_volume_marker,550 | 549 | 548 | 547 | 546 | 545 | 544 | 543 | 542,Kamisama no Memochou - Volume 01 | Kamisama no Memochou - Volume 02 | Kamisama no Memochou - Volume 03 | Kamisama no Memochou - Volume 04 | Kamisama no Memochou - Volume 05 | Kamisama no Memochou - Volume 06 | Kamisama no Memochou - Volume 07 | Kamisama no Memochou - Volume 08 | Kamisama no Memochou - Volume 09
Kieli,kieli,8,high,False,prefix_volume_marker,540 | 539 | 538 | 537 | 536 | 533 | 535 | 534,"Kieli, Vol. 2: White Wake on the Sand | Kieli, Vol. 3: Prisoners Bound for Another Planet | Kieli, Vol. 4: Long Night Beside a Deep Pool | Kieli, Vol. 5: The Sunlit Garden Where It Began, Part 1 | Kieli, Vol. 6: The Sunlit Garden Where It Began (Part 2) | Kieli, Vol. 7: As the Deep Ravine’s Wind Howls | Kieli, Vol. 8: The Dead Sleep Eternally in the Wilderness (Part 1) | Kieli, Vol. 9: The Dead Sleep Eternally in the Wilderness (Part 2)"
Kobold King,kobold king,2,high,False,prefix_volume_marker,868 | 867,Kobold King: Volume 1 | Kobold King: Volume 2
Leviathan of the Covenant,leviathan of the covenant,8,high,False,prefix_volume_marker,424 | 478 | 464 | 445 | 504 | 460 | 449 | 476,Leviathan of the Covenant - Volume 08 | Leviathan of the Covenant vol. 01 | Leviathan of the Covenant vol. 02 | Leviathan of the Covenant vol. 03 | Leviathan of the Covenant vol. 04 | Leviathan of the Covenant vol.05 | Leviathan of the Covenant vol.06 | Leviathan of the Covenant vol.07
Magic User: Reborn in Another World as a Max Level Wizard (Light Novel) Vol.,magic user reborn in another world as a max level wizard light novel vol,2,medium,True,repeated_structured_prefix,741 | 740,Magic User: Reborn in Another World as a Max Level Wizard (Light Novel) Vol. 1 | Magic User: Reborn in Another World as a Max Level Wizard (Light Novel) Vol. 2
Magika No Kenshi To Shoukan Maou,magika no kenshi to shoukan maou,28,high,False,prefix_volume_marker,303 | 492 | 311 | 444 | 310 | 411 | 309 | 438 | 308 | 442 | 307 | 450 | 306 | 423 | 305 | 446 | 304 | 412 | 302 | 480 | 301 | 474 | 300 | 493 | 299 | 498 | 298 | 428,Magika No Kenshi To Shoukan Maou vol. 09 | Magika No Kenshi To Shoukan Maou vol. 09 | Magika No Kenshi To Shoukan Maou vol.01 | Magika No Kenshi To Shoukan Maou vol.01 | Magika No Kenshi To Shoukan Maou vol.02 | Magika No Kenshi To Shoukan Maou vol.02 | Magika No Kenshi To Shoukan Maou vol.03 | Magika No Kenshi To Shoukan Maou vol.03 | Magika No Kenshi To Shoukan Maou vol.04 | Magika No Kenshi To Shoukan Maou vol.04 | Magika No Kenshi To Shoukan Maou vol.05 | Magika No Kenshi To Shoukan Maou vol.05 | Magika No Kenshi To Shoukan Maou vol.06 | Magika No Kenshi To Shoukan Maou vol.06 | Magika No Kenshi To Shoukan Maou vol.07 | Magika No Kenshi To Shoukan Maou vol.07 | Magika No Kenshi To Shoukan Maou vol.08 | Magika No Kenshi To Shoukan Maou vol.08 | Magika No Kenshi To Shoukan Maou vol.10 | Magika No Kenshi To Shoukan Maou vol.10 | Magika No Kenshi To Shoukan Maou vol.11 | Magika No Kenshi To Shoukan Maou vol.11 | Magika No Kenshi To Shoukan Maou vol.12 | Magika No Kenshi To Shoukan Maou vol.12 | Magika No Kenshi To Shoukan Maou vol.13 | Magika No Kenshi To Shoukan Maou vol.13 | Magika No Kenshi To Shoukan Maou vol.14 | Magika No Kenshi To Shoukan Maou vol.14
Maou Gakuen no Hangyakusha,maou gakuen no hangyakusha,4,high,False,prefix_volume_marker,642 | 641 | 643 | 640,Maou Gakuen no Hangyakusha vol 1 | Maou Gakuen no Hangyakusha vol 2 | Maou Gakuen no Hangyakusha: Volume 03 | Maou Gakuen no Hangyakusha: Volume 04
